,,Glenn Allen Youngkin,Terence Richard McAuliffe,Princess Latece Teira Blanding,Write-Ins,Total Votes Cast,Undervotes
Precinct,531 - Baileys #2 (CD 8),130,280,3,0,413,0
Precinct,532 - Weyanoke #2 (CD 8),199,393,4,1,597,0
Precinct,534 - Camelot #2 (CD 11),237,336,3,0,576,0
Precinct,601 - Belle Haven (CD 8),381,445,6,0,832,0
Precinct,602 - Belleview (CD 8),379,512,5,3,899,0
Precinct,604 - Bucknell (CD 8),325,763,9,1,1098,0
Precinct,605 - Fort Hunt (CD 8),467,513,4,2,986,0
Precinct,606 - Hollin Hall (CD 8),470,584,4,1,1059,0
Precinct,607 - Huntington (CD 8),336,782,15,3,1136,0
Precinct,608 - Kirkside (CD 8),216,487,0,0,703,0
Precinct,609 - Marlan (CD 8),385,431,2,2,820,0
Precinct,610 - Sherwood (CD 8),218,434,1,0,653,0
Precinct,611 - Stratford (CD 8),505,631,6,2,1144,0
Precinct,612 - Waynewood (CD 8),264,333,3,0,600,0
Precinct,613 - Westgate (CD 8),808,645,7,0,1460,0
Precinct,614 - Riverside (CD 8),396,464,3,2,865,0
Precinct,615 - Woodley (CD 8),445,614,6,3,1068,0
Precinct,616 - Gunston (CD 8),665,556,6,1,1228,0
Precinct,617 - Lorton (CD 8),268,543,1,0,812,0
Precinct,618 - Newington (CD 11),876,1325,14,5,2220,0
Precinct,619 - Belvoir (CD 8),455,713,4,0,1172,0
Precinct,621 - Grosvenor (CD 8),223,563,4,4,794,0
Precinct,622 - Lorton Station (CD 8),338,903,15,0,1256,0
Precinct,623 - Alban (CD 8),431,810,15,5,1261,0
Precinct,626 - Saratoga (CD 8),608,821,5,4,1438,0
Precinct,627 - Woodlawn (CD 8),393,832,12,0,1237,0
Precinct,628 - Laurel Hill (CD 11),523,1145,16,5,1689,0
Precinct,629 - South County (CD 11),614,812,11,2,1439,0
Precinct,630 - Army (CD 8),133,199,1,0,333,0
Precinct,701 - Blake (CD 11),533,981,10,1,1525,0
Precinct,703 - Fort Buffalo (CD 8),241,514,4,1,760,0
Precinct,704 - Freedom Hill (CD 11),362,603,1,0,966,0
Precinct,705 - Graham - Greenway (CD 8),436,933,7,2,1378,0
Precinct,707 - Mantua (CD 11),357,634,3,0,994,0
Precinct,708 - Marshall (CD 8),481,941,8,8,1438,0
Precinct,709 - Mosby (CD 11),379,717,11,3,1110,0
Precinct,710 - Pine Spring (CD 8),263,591,7,2,863,0
Precinct,711 - Price (CD 11),342,506,5,3,856,0
Precinct,712 - Shreve (CD 8),238,408,4,1,651,0
Precinct,713 - Timber Lane (CD 8),364,874,13,2,1253,0
Precinct,714 - Walker (CD 11),458,764,6,0,1228,0
Precinct,717 - Woodburn (CD 11),232,520,5,1,758,0
Precinct,718 - Pine Ridge (CD 11),344,497,11,1,853,0
Precinct,720 - Thoreau (CD 11),490,754,12,1,1257,0
Precinct,721 - Merrifield (CD 11),379,953,11,1,1344,0
Precinct,723 - Gallows East (CD 11),170,415,7,1,593,0
Precinct,726 - Magarity (CD 8),432,827,7,1,1267,0
Precinct,727 - Oakton (CD 11),473,575,1,5,1054,0
Precinct,729 - Nottoway (CD 11),363,600,3,2,968,0
Precinct,730 - Penderbrook (CD 11),580,938,3,0,1521,0
Precinct,731 - Tysons (CD 11),390,672,7,1,1070,0
Precinct,732 - Oak Marr (CD 11),711,722,9,1,1443,0
Precinct,733 - Kilmer (CD 11),523,942,10,1,1476,0
Precinct,734 - Hunters Branch (CD 11),211,382,4,0,597,0
Precinct,735 - Rotonda (CD 11),193,334,4,2,533,0
Precinct,801 - Burke (CD 11),708,1019,12,2,1741,0
Precinct,802 - Cedar Lake (CD 11),173,276,6,0,455,0
Precinct,803 - Clifton (CD 10),1055,694,5,1,1755,0
Precinct,804 - Colchester (CD 10),443,379,5,1,828,0
Precinct,805 - Fairfax Station (CD 10),399,394,1,1,795,0
Precinct,806 - Sydenstricker (CD 11),604,868,4,1,1477,0
Precinct,807 - Hunt Valley (CD 11),427,555,7,1,990,0
Precinct,811 - Pohick (CD 11),305,519,0,1,825,0
Precinct,812 - Valley (CD 11),512,679,17,2,1210,0
Precinct,815 - Woodyard (CD 10),633,535,3,3,1174,0
Precinct,824 - Orange (CD 11),744,929,16,4,1693,0
Precinct,825 - Cherry Run (CD 11),571,690,5,1,1267,0
Precinct,827 - Irving (CD 11),409,650,3,1,1063,0
Precinct,833 - White Oaks (CD 11),540,758,2,3,1303,0
Precinct,838 - Sangster (CD 10),486,514,9,1,1010,0
Precinct,839 - Silverbrook (CD 10),769,874,6,1,1650,0
Precinct,840 - West Springfield (CD 11),527,775,4,0,1306,0
Precinct,841 - Popes Head (CD 10),404,348,2,1,755,0
Precinct,842 - Parkway (CD 11),533,451,3,0,987,0
Precinct,843 - Fair Lakes (CD 11),529,796,8,1,1334,0
Precinct,844 - Centerpointe (CD 11),298,477,6,2,783,0
Precinct,845 - Fountainhead (CD 10),983,775,9,3,1770,0
Precinct,846 - Greenbriar East (CD 11),491,781,10,0,1282,0
Precinct,847 - Greenbriar West (CD 10),433,571,2,3,1009,0
Precinct,848 - Fair Oaks (CD 11),446,639,9,2,1096,0
Precinct,849 - Newgate (CD 10),1065,996,12,2,2075,0
Precinct,850 - South Run (CD 10),616,557,1,2,1176,0
Precinct,851 - Willow Springs (CD 11),533,589,3,2,1127,0
Precinct,901 - Centre Ridge (CD 11),419,664,8,0,1091,0
Precinct,902 - Brookfield (CD 10),637,887,6,1,1531,0
Precinct,903 - Cub Run (CD 10),716,823,7,0,1546,0
Precinct,904 - Stonecroft (CD 10),319,258,3,1,581,0
Precinct,905 - Franklin (CD 10),171,271,3,0,445,0
Precinct,908 - Hidden Meadow (CD 10),481,587,1,2,1071,0
Precinct,909 - Oak Hill (CD 10),408,562,1,1,972,0
Precinct,910 - London Towne (CD 11),481,854,13,2,1350,0
Precinct,911 - Navy (CD 10),631,799,10,3,1443,0
Precinct,913 - Rocky Run (CD 10),818,847,6,2,1673,0
Precinct,914 - Vale (CD 10),475,507,5,1,988,0
Precinct,915 - Virginia Run (CD 10),701,512,3,0,1216,0
Precinct,916 - Waples Mill (CD 10),885,927,4,0,1816,0
Precinct,917 - Stone North (CD 10),325,454,2,1,782,0
Precinct,918 - Centreville (CD 11),592,928,7,1,1528,0
Precinct,919 - Green Trails (CD 11),615,967,8,2,1592,0
Precinct,920 - Chantilly (CD 10),472,640,4,0,1116,0
Precinct,921 - Deer Park (CD 10),659,660,5,0,1324,0
Precinct,923 - Bull Run (CD 10),593,476,4,1,1074,0
Precinct,924 - Spindle (CD 11),212,354,9,0,575,0
Precinct,925 - Old Mill (CD 10),328,404,6,0,738,0
Precinct,926 - Powell (CD 11),694,924,9,2,1629,0
Precinct,927 - Armfield (CD 10),346,462,2,1,811,0
Precinct,928 - Poplar Tree (CD 10),590,627,9,1,1227,0
Precinct,929 - Difficult Run (CD 10),201,182,0,0,383,0
Precinct,930 - Lees Corner (CD 10),389,539,8,0,936,0
Precinct,931 - Carson (CD 10),380,647,4,2,1033,0
Precinct,932 - Stone South (CD 10),206,380,5,1,592,0
Precinct,933 - Compton (CD 11),132,171,5,0,308,0
Precinct,Ab - Central Absentee Precinct (CD 10),2437,8938,48,16,11439,0
Precinct,Ab - Central Absentee Precinct (CD 11),4571,24362,256,24,29213,0
Precinct,Ab - Central Absentee Precinct (CD 8),2642,14109,133,17,16901,0
Precinct,Provisional (CD 10),81,185,3,2,271,0
Precinct,Provisional (CD 11),234,641,11,0,886,0
Precinct,Provisional (CD 8),116,406,4,2,528,0
Locality,Falls Church City,1590,5388,42,6,7026,0
Precinct,##ev - Central Absentee Precinct,508,2368,9,0,2885,0
Precinct,##pe - Central Absentee Precinct,7,21,0,0,28,0
Precinct,1 - First Ward,332,811,10,0,1153,0
Precinct,2 - Second Ward,286,597,6,3,892,0
Precinct,3 - Third Ward,343,743,11,3,1100,0
Precinct,Ab - Central Absentee Precinct,112,833,6,0,951,0
Precinct,Provisional,2,15,0,0,17,0
Locality,Fauquier County,22252,11570,156,14,33992,0
Precinct,##ev - Central Absentee Precinct (CD 1),1170,571,2,0,1743,0
Precinct,##ev - Central Absentee Precinct (CD 5),5174,3459,16,2,8651,0
Precinct,##pe - Central Absentee Precinct (CD 1),6,10,0,0,16,0
Precinct,##pe - Central Absentee Precinct (CD 5),13,27,5,0,45,0
Precinct,101 - Kettle Run (CD 5),458,110,6,1,575,0
Precinct,102 - Catlett (CD 1),1110,212,4,0,1326,0
Precinct,103 - Casanova (CD 5),474,156,3,0,633,0
Precinct,104 - Lois (CD 1),487,121,0,0,608,0
Precinct,105 - Opal (CD 5),515,119,2,2,638,0
Precinct,106 - Baldwin Ridge (CD 5),561,224,3,1,789,0
Precinct,201 - Courthouse (CD 5),807,524,10,1,1342,0
Precinct,202 - Airlie (CD 5),728,314,11,0,1053,0
Precinct,203 - Warrenton (CD 5),741,493,3,0,1237,0
Precinct,301 - Morrisville (CD 1),786,158,4,0,948,0
Precinct,302 - Remington (CD 5),969,333,9,0,1311,0
Precinct,303 - Bealeton (CD 1),1083,441,7,0,1531,0
Precinct,401 - Marshall (CD 5),849,387,3,1,1240,0
Precinct,402 - Leeds (CD 5),798,408,5,0,1211,0
Precinct,403 - Waterloo (CD 5),896,263,7,1,1167,0
Precinct,404 - Springs Valley (CD 5),416,170,4,0,590,0
Precinct,501 - The Plains (CD 5),702,440,2,2,1146,0
Precinct,502 - New Baltimore (CD 5),873,302,10,0,1185,0
Precinct,503 - Broad Run (CD 5),692,234,3,2,931,0
Precinct,504 - Vint Hill (CD 5),1101,405,3,1,1510,0
Precinct,Ab - Central Absentee Precinct (CD 1),115,218,5,0,338,0
Precinct,Ab - Central Absentee Precinct (CD 5),700,1437,28,0,2165,0
Precinct,Provisional (CD 1),2,5,0,0,7,0
Precinct,Provisional (CD 5),26,29,1,0,56,0
Locality,Floyd County,5230,2203,59,6,7498,0
Precinct,##ev - Central Absentee Precinct,1074,798,11,0,1883,0
Precinct,##pe - Central Absentee Precinct,2,11,0,0,13,0
Precinct,101 - Locust Grove,819,243,11,0,1073,0
Precinct,201 - Little River,825,259,16,2,1102,0
Precinct,301 - Courthouse,553,231,5,2,791,0
Precinct,401 - Burks Fork,826,191,3,1,1021,0
Precinct,501 - Indian Valley,963,155,6,1,1125,0
Precinct,Ab - Central Absentee Precinct,165,310,7,0,482,0
Precinct,Provisional,3,5,0,0,8,0
Locality,Fluvanna County,7068,5312,65,9,12454,0
Precinct,##ev - Central Absentee Precinct,2419,2226,11,2,4658,0
Precinct,##pe - Central Absentee Precinct,11,29,1,0,41,0
Precinct,101 - Palmyra,902,536,10,3,1451,0
Precinct,201 - Columbia,842,386,5,2,1235,0
Precinct,301 - Fork Union,803,427,9,0,1239,0
Precinct,401 - Cunningham,1123,295,8,0,1426,0
Precinct,501 - Rivanna,719,480,10,1,1210,0
Precinct,Ab - Central Absentee Precinct,240,925,11,1,1177,0
Precinct,Provisional,9,8,0,0,17,0
Locality,Franklin City,1270,1680,14,1,2965,0
Precinct,##ev - Central Absentee Precinct,358,494,3,0,855,0
Precinct,##pe - Central Absentee Precinct,0,2,0,0,2,0
Precinct,101 - Precinct 1-1,340,113,1,0,454,0
Precinct,201 - Precinct 2-1,264,162,3,0,429,0
Precinct,301 - Precinct 3-1,33,233,1,0,267,0
Precinct,401 - Precinct 4-1,31,159,1,0,191,0
Precinct,501 - Precinct 5-1,15,199,2,0,216,0
Precinct,601 - Precinct 6-1,190,148,1,1,340,0
Precinct,Ab - Central Absentee Precinct,38,168,2,0,208,0
Precinct,Provisional,1,2,0,0,3,0
Locality,Franklin County,17842,5894,102,10,23848,0
Precinct,##ev - Central Absentee Precinct,2851,1628,12,5,4496,0
Precinct,##pe - Central Absentee Precinct,30,22,2,0,54,0
Precinct,102 - Burnt Chimney,1056,238,9,1,1304,0
Precinct,103 - Scruggs,1650,428,6,1,2085,0
Precinct,201 - Glade Hill,977,154,1,0,1132,0
Precinct,202 - Penhook,624,184,1,0,809,0
Precinct,203 - Hodgesville,153,34,2,0,189,0
Precinct,204 - Dudley,554,121,3,0,678,0
Precinct,301 - Snow Creek,450,78,1,0,529,0
Precinct,302 - Fork Mountain,416,70,5,0,491,0
Precinct,303 - Sontag,579,215,3,1,798,0
Precinct,304 - Dickinson,279,95,1,0,375,0
Precinct,401 - Henry,791,100,4,0,895,0
Precinct,402 - Ferrum,393,102,6,0,501,0
Precinct,403 - Endicott,452,71,1,0,524,0
Precinct,501 - Waidsboro,477,110,3,0,590,0
Precinct,502 - Callaway,730,130,4,0,864,0
Precinct,503 - Bowmans,391,109,0,0,500,0
Precinct,504 - Gogginsville,601,141,4,0,746,0
Precinct,601 - Boones Mill,882,189,5,0,1076,0
Precinct,602 - Bonbrook,867,158,5,0,1030,0
Precinct,603 - Coopers Cove,663,117,5,0,785,0
Precinct,701 - Rocky Mount East,651,234,2,0,887,0
Precinct,702 - Rocky Mount West,431,193,3,0,627,0
Precinct,703 - Rocky Mount South,378,155,2,1,536,0
Precinct,Ab - Central Absentee Precinct,512,811,11,1,1335,0
Precinct,Provisional,4,7,1,0,12,0
Locality,Frederick County,25063,11164,130,19,36376,0
Precinct,##ev - Central Absentee Precinct,4604,2884,10,2,7500,0
Precinct,##pe - Central Absentee Precinct,62,76,1,0,139,0
Precinct,101 - Russells,966,198,3,0,1167,0
Precinct,102 - Gore,1263,266,4,1,1534,0
Precinct,103 - Kernstown,1014,314,2,1,1331,0
Precinct,104 - Cedar Creek,689,190,3,2,884,0
Precinct,201 - Gainesborough,726,95,5,0,826,0
Precinct,202 - Albin,896,220,2,1,1119,0
Precinct,203 - Redland,1261,315,3,0,1579,0
Precinct,204 - Nain,800,199,2,1,1002,0
Precinct,301 - Clear Brook,670,126,6,1,803,0
Precinct,302 - Neff's Town,1119,603,12,1,1735,0
Precinct,303 - White Hall,1209,376,4,1,1590,0
Precinct,401 - Carpers Valley,753,321,6,0,1080,0
Precinct,402 - Shenandoah,608,192,3,0,803,0
Precinct,403 - Parkin's Mill,928,334,7,1,1270,0
Precinct,404 - Armel,787,368,4,1,1160,0
Precinct,501 - Stephens City,951,440,5,1,1397,0
Precinct,502 - Newtown,1239,434,5,1,1679,0
Precinct,503 - Canterburg,1166,490,7,0,1663,0
Precinct,601 - Millbrook,597,230,3,1,831,0
Precinct,602 - Ash Hollow,658,327,6,0,991,0
Precinct,603 - Greenwood,1326,566,9,0,1901,0
Precinct,Ab - Central Absentee Precinct,749,1577,18,3,2347,0
Precinct,Provisional,22,23,0,0,45,0
Locality,Fredericksburg City,3503,5402,113,17,9035,0
Precinct,##ev - Central Absentee Precinct,993,1535,22,3,2553,0
Precinct,##pe - Central Absentee Precinct,3,9,0,0,12,0
Precinct,101 - Precinct 1 - District One,743,828,18,4,1593,0
Precinct,201 - Precinct 1 - District Two,560,750,28,6,1344,0
Precinct,301 - Precinct 1 - District Three,582,589,11,1,1183,0
Precinct,401 - Precinct 1 - District Four,192,507,12,0,711,0
Precinct,402 - Precinct 2 - District Four,237,332,10,3,582,0
Precinct,Ab - Central Absentee Precinct,187,839,12,0,1038,0
Precinct,Provisional,6,13,0,0,19,0
Locality,Galax City,1424,492,9,1,1926,0
Precinct,##ev - Central Absentee Precinct,363,175,2,0,540,0
Precinct,##pe - Central Absentee Precinct,1,2,0,0,3,0
Precinct,1 - East,434,123,5,0,562,0
Precinct,5 - West,570,128,1,1,700,0
Precinct,Ab - Central Absentee Precinct,55,63,1,0,119,0
Precinct,Provisional,1,1,0,0,2,0
Locality,Giles County,5788,1535,61,5,7389,0
Precinct,##ev - Central Absentee Precinct,1882,608,13,1,2504,0
Precinct,##pe - Central Absentee Precinct,2,4,0,0,6,0
Precinct,101 - Glen Lyn,74,11,0,0,85,0
Precinct,102 - Rich Creek,299,49,1,0,349,0
Precinct,103 - Narrows,758,105,8,1,872,0
Precinct,201 - Pearisburg,742,123,8,0,873,0
Precinct,202 - Staffordsville,217,33,1,0,251,0
Precinct,203 - White Gate,150,14,4,0,168,0
Precinct,301 - Eggleston,335,103,1,0,439,0
Precinct,302 - Pembroke,775,152,15,1,943,0
Precinct,303 - Newport,421,160,8,1,590,0
Precinct,Ab - Central Absentee Precinct,133,172,2,1,308,0
Precinct,Provisional,0,1,0,0,1,0
Locality,Gloucester County,12585,4712,88,6,17391,0
Precinct,##ev - Central Absentee Precinct,2447,1451,19,0,3917,0
Precinct,##pe - Central Absentee Precinct,11,11,0,0,22,0
Precinct,101 - Harcum,800,200,2,0,1002,0
Precinct,102 - Salem,689,169,4,0,862,0
Precinct,103 - Peasley,557,129,6,0,692,0
Precinct,201 - Courthouse,626,222,2,1,851,0
Precinct,202 - Botetourt,1003,293,10,2,1308,0
Precinct,301 - White Marsh,889,218,5,0,1112,0
Precinct,302 - Roanes,1048,283,4,0,1335,0
Precinct,401 - Hayes,978,323,8,1,1310,0
Precinct,402 - Sarahs Creek,853,309,9,0,1171,0
Precinct,501 - Achilles,1466,297,2,0,1765,0
Precinct,502 - Walker,888,218,10,0,1116,0
Precinct,Ab - Central Absentee Precinct,319,584,7,2,912,0
Precinct,Provisional,11,5,0,0,16,0
Locality,Goochland County,9585,4910,52,5,14552,0
Precinct,##ev - Central Absentee Precinct,3503,1974,13,0,5490,0
Precinct,##pe - Central Absentee Precinct,12,27,1,0,40,0
Precinct,101 - Fife,449,145,5,2,601,0
Precinct,102 - Hadensville,697,268,3,0,968,0
Precinct,201 - Three Square,178,94,1,0,273,0
Precinct,202 - Sandy Hook,641,314,7,0,962,0
Precinct,301 - Goochland Court House 1,459,172,1,0,632,0
Precinct,302 - Goochland Court House 2,221,63,0,0,284,0
Precinct,401 - Shallow Well,768,310,3,0,1081,0
Precinct,402 - Centerville,777,299,3,1,1080,0
Precinct,501 - Manakin,947,347,8,1,1303,0
Precinct,502 - Blair,598,289,1,1,889,0
Precinct,Ab - Central Absentee Precinct,330,604,6,0,940,0
Precinct,Provisional,5,4,0,0,9,0
Locality,Grayson County,5144,1062,27,4,6237,0
Precinct,##ev - Central Absentee Precinct,678,238,1,0,917,0
Precinct,##pe - Central Absentee Precinct,2,1,0,0,3,0
Precinct,101 - Bridle Creek,185,44,2,0,231,0
Precinct,102 - Flatridge,105,17,0,0,122,0
Precinct,103 - Grant,196,43,0,0,239,0
Precinct,104 - Mouth Of Wilson,110,22,1,0,133,0
Precinct,105 - Mount Rogers,144,24,0,0,168,0
Precinct,106 - Rugby,154,28,2,2,186,0
Precinct,107 - Troutdale,97,9,0,0,106,0
Precinct,108 - Comers Rock,131,28,0,1,160,0
Precinct,202 - Elk Creek,308,42,4,0,354,0
Precinct,203 - Independence,713,116,5,0,834,0
Precinct,301 - Baywood,493,40,0,0,533,0
Precinct,302 - Fairview,598,71,3,0,672,0
Precinct,401 - Fries,242,62,1,0,305,0
Precinct,402 - Providence,591,56,1,1,649,0
Precinct,403 - Oldtown,232,32,0,0,264,0
Precinct,Ab - Central Absentee Precinct,164,188,7,0,359,0
Precinct,Provisional,1,1,0,0,2,0
Locality,Greene County,5961,2806,68,7,8842,0
Precinct,##ev - Central Absentee Precinct,1826,1027,9,3,2865,0
Precinct,##pe - Central Absentee Precinct,8,20,1,0,29,0
Precinct,101 - Dyke,515,121,6,0,642,0
Precinct,102 - Swift Run,605,161,6,0,772,0
Precinct,201 - Ruckersville,999,414,6,2,1421,0
Precinct,301 - Stanardsville,866,221,12,1,1100,0
Precinct,401 - Midway,986,402,14,1,1403,0
Precinct,Ab - Central Absentee Precinct,154,439,14,0,607,0
Precinct,Provisional,2,1,0,0,3,0
Locality,Greensville County,1709,1915,12,2,3638,0
Precinct,##ev - Central Absentee Precinct,372,413,0,0,785,0
Precinct,##pe - Central Absentee Precinct,0,1,0,0,1,0
Precinct,101 - Precinct 1-a,140,160,2,1,303,0
Precinct,102 - Precinct 1-b,95,34,0,0,129,0
Precinct,103 - Precinct 1-c,40,137,2,0,179,0
Precinct,201 - Precinct 2-a,90,206,0,0,296,0
Precinct,202 - Precinct 2-b,282,113,0,0,395,0
Precinct,302 - Precinct 3-a,227,331,4,0,562,0
Precinct,401 - Precinct 4-a,154,55,0,0,209,0
Precinct,402 - Precinct 4-b,144,184,1,0,329,0
Precinct,403 - Precinct 4-c,103,51,1,0,155,0
Precinct,AB - Central Absentee Precinct,62,230,2,1,295,0
Precinct,Provisional,0,0,0,0,0,0
Locality,Halifax County,8641,4804,75,2,13522,0
Precinct,##ev - Central Absentee Precinct,1898,1430,15,1,3344,0
Precinct,##pe - Central Absentee Precinct,6,13,1,0,20,0
Precinct,101 - Childrey,375,152,1,0,528,0
Precinct,102 - Liberty,194,62,3,0,259,0
Precinct,103 - Republican Grove,344,162,2,1,509,0
Precinct,201 - Clays Mill,285,84,1,0,370,0
Precinct,202 - Crossroads,277,82,1,0,360,0
Precinct,203 - Clover,297,187,2,0,486,0
Precinct,302 - Meadville,82,118,2,0,202,0
Precinct,304 - Vernon Hill,308,99,1,0,408,0
Precinct,305 - Sinai,215,236,2,0,453,0
Precinct,401 - Courthouse,294,187,5,0,486,0
Precinct,403 - Center,358,150,2,0,510,0
Precinct,502 - Dan River,432,177,7,0,616,0
Precinct,503 - Scottsburg,417,74,1,0,492,0
Precinct,601 - Black Walnut,357,108,0,0,465,0
Precinct,603 - Mt Carmel,475,232,6,0,713,0
Precinct,605 - Union,185,55,0,0,240,0
Precinct,701 - Hyco,583,150,1,0,734,0
Precinct,702 - Midway,476,64,2,0,542,0
Precinct,703 - Virgilina,325,35,1,0,361,0
Precinct,801 - South Boston,225,400,9,0,634,0
Precinct,Ab - Central Absentee Precinct,233,541,10,0,784,0
Precinct,Provisional,0,6,0,0,6,0
Locality,Hampton City,14651,29971,449,33,45104,0
Precinct,##ev - Central Absentee Precinct (CD 2),1090,1671,9,0,2770,0
Precinct,##ev - Central Absentee Precinct (CD 3),1791,7283,38,1,9113,0
Precinct,##pe - Central Absentee Precinct (CD 2),18,20,0,0,38,0
Precinct,##pe - Central Absentee Precinct (CD 3),27,129,7,0,163,0
Precinct,101 - Aberdeen (CD 3),154,660,10,0,824,0
Precinct,102 - Bassette (CD 3),76,759,11,0,846,0
Precinct,103 - City Hall (CD 3),102,341,9,0,452,0
Precinct,104 - Cooper (CD 3),207,872,18,3,1100,0
Precinct,105 - East Hampton (CD 3),151,301,7,0,459,0
Precinct,106 - Armstrong (CD 3),371,573,23,2,969,0
Precinct,107 - Lindsay (CD 3),188,664,10,0,862,0
Precinct,108 - Thomas (CD 3),151,732,7,1,891,0
Precinct,109 - Phenix (CD 3),129,867,9,0,1005,0
Precinct,110 - Phoebus (CD 2),137,177,5,0,319,0
Precinct,111 - Hampton Library (CD 3),189,215,5,0,409,0
Precinct,112 - Smith (CD 3),431,721,19,1,1172,0
Precinct,115 - Wythe (CD 3),344,336,9,0,689,0
Precinct,116 - Jones (CD 3),126,335,10,1,472,0
Precinct,117 - Kecoughtan (CD 3),255,540,9,1,805,0
Precinct,118 - Mallory (CD 3),146,882,12,5,1045,0
Precinct,201 - Booker (CD 2),751,516,14,0,1281,0
Precinct,202 - Bryan (CD 2),591,594,18,0,1203,0
Precinct,203 - Burbank (CD 2),396,429,8,1,834,0
Precinct,204 - Forrest (CD 3),352,540,10,1,903,0
Precinct,205 - Asbury (CD 2),1320,609,12,2,1943,0
Precinct,208 - Kraft (CD 3),767,809,9,2,1587,0
Precinct,209 - Langley (CD 2),550,463,17,0,1030,0
Precinct,210 - Machen (CD 3),435,943,22,3,1403,0
Precinct,212 - Bethel (CD 3),503,988,17,1,1509,0
Precinct,213 - Phillips (CD 2),968,707,15,3,1693,0
Precinct,214 - Tucker Capps (CD 3),557,703,14,0,1274,0
Precinct,215 - Tyler (CD 3),55,179,3,0,237,0
Precinct,215 - Tyler (CD 2),9,18,0,0,27,0
Precinct,216 - Sandy Bottom (CD 3),320,445,8,2,775,0
Precinct,217 - Syms (CD 3),335,234,3,0,572,0
Precinct,Ab - Central Absentee Precinct (CD 2),191,696,9,0,896,0
Precinct,Ab - Central Absentee Precinct (CD 3),448,2917,40,3,3408,0
Precinct,Provisional (CD 2),8,21,2,0,31,0
Precinct,Provisional (CD 3),12,82,1,0,95,0
Locality,Hanover County,39515,18107,304,34,57960,0
Precinct,##ev - Central Absentee Precinct,11212,5075,52,7,16346,0
Precinct,##pe - Central Absentee Precinct,65,75,6,0,146,0
Precinct,101 - Ashland,429,388,5,2,824,0
Precinct,104 - Sliding Hill,577,362,9,1,949,0
Precinct,105 - Berkley,386,346,6,0,738,0
Precinct,106 - Kersey Creek,398,167,4,1,570,0
Precinct,107 - Chickahominy,474,291,3,1,769,0
Precinct,201 - Beaverdam,1230,237,7,0,1474,0
Precinct,202 - Blunts,523,219,3,0,745,0
Precinct,203 - Wilmington Parish,809,241,5,0,1055,0
Precinct,206 - Courthouse,487,277,2,1,767,0
Precinct,208 - Oak Knoll,609,192,7,0,808,0
Precinct,209 - West Hanover,253,83,0,0,336,0
Precinct,210 - Oak Hill,247,81,1,0,329,0
Precinct,301 - Clay,727,253,6,0,986,0
Precinct,303 - Shady Grove,809,335,11,2,1157,0
Precinct,304 - Atlee,1591,963,20,2,2576,0
Precinct,305 - Cool Spring,821,349,8,0,1178,0
Precinct,401 - Battlefield,1019,224,1,1,1245,0
Precinct,403 - Cold Harbor,1181,419,9,0,1609,0
Precinct,404 - Black Creek,1330,219,3,1,1553,0
Precinct,405 - Pebble Creek,585,267,4,0,856,0
Precinct,406 - Beaverdam Creek,228,97,3,1,329,0
Precinct,502 - Rural Point,862,334,6,0,1202,0
Precinct,503 - Newman,642,297,9,2,950,0
Precinct,504 - Studley,787,148,3,1,939,0
Precinct,505 - Totopotomoy,568,108,3,1,680,0
Precinct,506 - Georgetown,621,230,3,0,854,0
Precinct,507 - Laurel Meadow,798,276,6,0,1080,0
Precinct,601 - Village,1229,515,10,1,1755,0
Precinct,602 - Lee Davis,1006,356,9,0,1371,0
Precinct,603 - Mechanicsville,601,290,5,1,897,0
Precinct,604 - Hanover Grove,592,223,3,0,818,0
Precinct,701 - Farrington,866,235,6,0,1107,0
Precinct,702 - Montpelier,807,332,4,0,1143,0
Precinct,703 - Rockville,1001,311,4,3,1319,0
Precinct,704 - Elmont,909,410,10,1,1330,0
Precinct,705 - South Anna,578,168,5,0,751,0
Precinct,Ab Central Absentee Precinct,1624,2677,43,4,4348,0
Precinct,Provisional,34,37,0,0,71,0
Locality,Harrisonburg City,4382,6812,131,12,11337,0
Precinct,##ev - Central Absentee Precinct,1490,2620,19,3,4132,0
Precinct,##pe - Central Absentee Precinct,9,51,4,0,64,0
Precinct,101 - Northeast,393,592,16,2,1003,0
Precinct,102 - East Central,178,307,6,0,491,0
Precinct,103 - Southeast,398,572,15,2,987,0
Precinct,104 - East,408,435,14,0,857,0
Precinct,105 - South East Central,64,203,9,0,276,0
Precinct,201 - Northwest,455,494,12,1,962,0
Precinct,202 - Southwest,432,554,17,2,1005,0
Precinct,203 - West,438,488,11,2,939,0
Precinct,Ab - Central Absentee Precinct,113,484,8,0,605,0
Precinct,Provisional,4,12,0,0,16,0
Locality,Henrico County,55796,81409,1342,120,138667,0
Precinct,##ev - Central Absentee Precinct (CD 4),1877,7616,77,7,9577,0
Precinct,##ev - Central Absentee Precinct (CD 7),9696,13071,83,7,22857,0
Precinct,##pe - Central Absentee Precinct (CD 4),46,352,15,1,414,0
Precinct,##pe - Central Absentee Precinct (CD 7),567,1369,24,2,1962,0
Precinct,101 - Coalpit (CD 7),968,726,14,2,1710,0
Precinct,102 - Dumbarton (CD 7),328,656,16,2,1002,0
Precinct,103 - Glen Allen (CD 7),1120,674,10,4,1808,0
Precinct,105 - Greendale (CD 7),574,690,25,2,1291,0
