,,Winsome Earle Sears,Hala Sophia Ayala,Write-Ins,Total Votes Cast,Undervotes
Precinct,825 - Cherry Run (CD 11),564,692,0,1256,0
Precinct,827 - Irving (CD 11),409,643,0,1052,0
Precinct,833 - White Oaks (CD 11),523,763,5,1291,0
Precinct,838 - Sangster (CD 10),488,510,8,1006,0
Precinct,839 - Silverbrook (CD 10),757,879,5,1641,0
Precinct,840 - West Springfield (CD 11),515,787,0,1302,0
Precinct,841 - Popes Head (CD 10),401,345,2,748,0
Precinct,842 - Parkway (CD 11),525,457,0,982,0
Precinct,843 - Fair Lakes (CD 11),534,786,2,1322,0
Precinct,844 - Centerpointe (CD 11),298,482,3,783,0
Precinct,845 - Fountainhead (CD 10),969,783,5,1757,0
Precinct,846 - Greenbriar East (CD 11),486,786,3,1275,0
Precinct,847 - Greenbriar West (CD 10),429,570,1,1000,0
Precinct,848 - Fair Oaks (CD 11),443,643,3,1089,0
Precinct,849 - Newgate (CD 10),1063,1003,2,2068,0
Precinct,850 - South Run (CD 10),616,553,2,1171,0
Precinct,851 - Willow Springs (CD 11),531,584,2,1117,0
Precinct,901 - Centre Ridge (CD 11),424,659,1,1084,0
Precinct,902 - Brookfield (CD 10),609,893,3,1505,0
Precinct,903 - Cub Run (CD 10),700,840,3,1543,0
Precinct,904 - Stonecroft (CD 10),316,265,0,581,0
Precinct,905 - Franklin (CD 10),168,274,2,444,0
Precinct,908 - Hidden Meadow (CD 10),474,591,0,1065,0
Precinct,909 - Oak Hill (CD 10),413,555,1,969,0
Precinct,910 - London Towne (CD 11),471,871,2,1344,0
Precinct,911 - Navy (CD 10),635,793,3,1431,0
Precinct,913 - Rocky Run (CD 10),810,845,1,1656,0
Precinct,914 - Vale (CD 10),489,498,0,987,0
Precinct,915 - Virginia Run (CD 10),689,520,0,1209,0
Precinct,916 - Waples Mill (CD 10),881,923,0,1804,0
Precinct,917 - Stone North (CD 10),319,455,3,777,0
Precinct,918 - Centreville (CD 11),581,931,1,1513,0
Precinct,919 - Green Trails (CD 11),597,978,4,1579,0
Precinct,920 - Chantilly (CD 10),485,625,0,1110,0
Precinct,921 - Deer Park (CD 10),642,667,3,1312,0
Precinct,923 - Bull Run (CD 10),590,476,4,1070,0
Precinct,924 - Spindle (CD 11),205,360,1,566,0
Precinct,925 - Old Mill (CD 10),322,409,0,731,0
Precinct,926 - Powell (CD 11),683,936,2,1621,0
Precinct,927 - Armfield (CD 10),339,466,0,805,0
Precinct,928 - Poplar Tree (CD 10),584,639,2,1225,0
Precinct,929 - Difficult Run (CD 10),199,181,0,380,0
Precinct,930 - Lees Corner (CD 10),377,555,1,933,0
Precinct,931 - Carson (CD 10),378,646,2,1026,0
Precinct,932 - Stone South (CD 10),194,396,1,591,0
Precinct,933 - Compton (CD 11),133,172,0,305,0
Precinct,Ab - Central Absentee Precinct (CD 10),2532,8834,18,11384,0
Precinct,Ab - Central Absentee Precinct (CD 11),4718,24332,46,29096,0
Precinct,Ab - Central Absentee Precinct (CD 8),2701,14093,35,16829,0
Precinct,Provisional (CD 10),81,184,0,265,0
Precinct,Provisional (CD 11),227,653,1,881,0
Precinct,Provisional (CD 8),117,407,1,525,0
Locality,Falls Church City,1537,5415,12,6964,0
Precinct,##ev - Central Absentee Precinct,498,2366,4,2868,0
Precinct,##pe - Central Absentee Precinct,5,23,0,28,0
Precinct,1 - First Ward,332,807,1,1140,0
Precinct,2 - Second Ward,266,612,1,879,0
Precinct,3 - Third Ward,323,763,4,1090,0
Precinct,Ab - Central Absentee Precinct,112,828,2,942,0
Precinct,Provisional,1,16,0,17,0
Locality,Fauquier County,22134,11732,28,33894,0
Precinct,##ev - Central Absentee Precinct (CD 1),1160,573,3,1736,0
Precinct,##ev - Central Absentee Precinct (CD 5),5171,3457,2,8630,0
Precinct,##pe - Central Absentee Precinct (CD 1),6,10,0,16,0
Precinct,##pe - Central Absentee Precinct (CD 5),12,33,0,45,0
Precinct,101 - Kettle Run (CD 5),452,116,6,574,0
Precinct,102 - Catlett (CD 1),1102,218,1,1321,0
Precinct,103 - Casanova (CD 5),473,161,0,634,0
Precinct,104 - Lois (CD 1),486,119,0,605,0
Precinct,105 - Opal (CD 5),510,126,0,636,0
Precinct,106 - Baldwin Ridge (CD 5),558,223,1,782,0
Precinct,201 - Courthouse (CD 5),805,531,1,1337,0
Precinct,202 - Airlie (CD 5),731,320,3,1054,0
Precinct,203 - Warrenton (CD 5),733,500,0,1233,0
Precinct,301 - Morrisville (CD 1),776,170,0,946,0
Precinct,302 - Remington (CD 5),958,353,0,1311,0
Precinct,303 - Bealeton (CD 1),1065,462,0,1527,0
Precinct,401 - Marshall (CD 5),840,390,2,1232,0
Precinct,402 - Leeds (CD 5),785,419,2,1206,0
Precinct,403 - Waterloo (CD 5),895,269,1,1165,0
Precinct,404 - Springs Valley (CD 5),414,173,0,587,0
Precinct,501 - The Plains (CD 5),696,444,1,1141,0
Precinct,502 - New Baltimore (CD 5),864,317,2,1183,0
Precinct,503 - Broad Run (CD 5),689,238,1,928,0
Precinct,504 - Vint Hill (CD 5),1099,408,0,1507,0
Precinct,Ab - Central Absentee Precinct (CD 1),121,214,0,335,0
Precinct,Ab - Central Absentee Precinct (CD 5),705,1453,2,2160,0
Precinct,Provisional (CD 1),2,5,0,7,0
Precinct,Provisional (CD 5),26,30,0,56,0
Locality,Floyd County,5161,2275,11,7447,0
Precinct,##ev - Central Absentee Precinct,1064,807,2,1873,0
Precinct,##pe - Central Absentee Precinct,3,10,0,13,0
Precinct,101 - Locust Grove,812,254,1,1067,0
Precinct,201 - Little River,819,272,3,1094,0
Precinct,301 - Courthouse,545,236,3,784,0
Precinct,401 - Burks Fork,811,204,0,1015,0
Precinct,501 - Indian Valley,945,168,1,1114,0
Precinct,Ab - Central Absentee Precinct,159,319,1,479,0
Precinct,Provisional,3,5,0,8,0
Locality,Fluvanna County,7119,5247,7,12373,0
Precinct,##ev - Central Absentee Precinct,2452,2176,3,4631,0
Precinct,##pe - Central Absentee Precinct,12,29,0,41,0
Precinct,101 - Palmyra,900,542,2,1444,0
Precinct,201 - Columbia,839,386,1,1226,0
Precinct,301 - Fork Union,810,421,1,1232,0
Precinct,401 - Cunningham,1121,295,0,1416,0
Precinct,501 - Rivanna,733,467,0,1200,0
Precinct,Ab - Central Absentee Precinct,244,923,0,1167,0
Precinct,Provisional,8,8,0,16,0
Locality,Franklin City,1275,1659,0,2934,0
Precinct,##ev - Central Absentee Precinct,353,487,0,840,0
Precinct,##pe - Central Absentee Precinct,0,2,0,2,0
Precinct,101 - Precinct 1-1,344,107,0,451,0
Precinct,201 - Precinct 2-1,265,164,0,429,0
Precinct,301 - Precinct 3-1,38,222,0,260,0
Precinct,401 - Precinct 4-1,38,152,0,190,0
Precinct,501 - Precinct 5-1,11,204,0,215,0
Precinct,601 - Precinct 6-1,187,151,0,338,0
Precinct,Ab - Central Absentee Precinct,38,168,0,206,0
Precinct,Provisional,1,2,0,3,0
Locality,Franklin County,17508,6154,18,23680,0
Precinct,##ev - Central Absentee Precinct,2804,1651,4,4459,0
Precinct,##pe - Central Absentee Precinct,32,23,0,55,0
Precinct,102 - Burnt Chimney,1042,251,3,1296,0
Precinct,103 - Scruggs,1630,444,2,2076,0
Precinct,201 - Glade Hill,965,161,0,1126,0
Precinct,202 - Penhook,601,204,0,805,0
Precinct,203 - Hodgesville,152,33,0,185,0
Precinct,204 - Dudley,539,134,0,673,0
Precinct,301 - Snow Creek,446,79,0,525,0
Precinct,302 - Fork Mountain,405,85,0,490,0
Precinct,303 - Sontag,566,223,2,791,0
Precinct,304 - Dickinson,273,96,0,369,0
Precinct,401 - Henry,778,113,1,892,0
Precinct,402 - Ferrum,374,118,1,493,0
Precinct,403 - Endicott,444,79,1,524,0
Precinct,501 - Waidsboro,463,123,0,586,0
Precinct,502 - Callaway,720,139,1,860,0
Precinct,503 - Bowmans,387,107,0,494,0
Precinct,504 - Gogginsville,592,150,1,743,0
Precinct,601 - Boones Mill,863,205,0,1068,0
Precinct,602 - Bonbrook,855,173,0,1028,0
Precinct,603 - Coopers Cove,651,125,0,776,0
Precinct,701 - Rocky Mount East,631,245,0,876,0
Precinct,702 - Rocky Mount West,423,197,1,621,0
Precinct,703 - Rocky Mount South,365,164,1,530,0
Precinct,Ab - Central Absentee Precinct,503,824,0,1327,0
Precinct,Provisional,4,8,0,12,0
Locality,Frederick County,24901,11302,26,36229,0
Precinct,##ev - Central Absentee Precinct,4598,2877,3,7478,0
Precinct,##pe - Central Absentee Precinct,59,79,1,139,0
Precinct,101 - Russells,962,200,0,1162,0
Precinct,102 - Gore,1258,273,1,1532,0
Precinct,103 - Kernstown,1007,319,0,1326,0
Precinct,104 - Cedar Creek,687,194,3,884,0
Precinct,201 - Gainesborough,717,108,0,825,0
Precinct,202 - Albin,891,227,0,1118,0
Precinct,203 - Redland,1246,325,1,1572,0
Precinct,204 - Nain,793,202,1,996,0
Precinct,301 - Clear Brook,664,130,1,795,0
Precinct,302 - Neff's Town,1113,611,2,1726,0
Precinct,303 - White Hall,1198,388,0,1586,0
Precinct,401 - Carpers Valley,740,337,0,1077,0
Precinct,402 - Shenandoah,595,202,1,798,0
Precinct,403 - Parkin's Mill,919,342,1,1262,0
Precinct,404 - Armel,782,376,0,1158,0
Precinct,501 - Stephens City,939,452,1,1392,0
Precinct,502 - Newtown,1227,445,1,1673,0
Precinct,503 - Canterburg,1160,497,1,1658,0
Precinct,601 - Millbrook,597,226,1,824,0
Precinct,602 - Ash Hollow,648,335,0,983,0
Precinct,603 - Greenwood,1310,572,4,1886,0
Precinct,Ab - Central Absentee Precinct,770,1562,2,2334,0
Precinct,Provisional,21,23,1,45,0
Locality,Fredericksburg City,3490,5453,14,8957,0
Precinct,##ev - Central Absentee Precinct,983,1551,3,2537,0
Precinct,##pe - Central Absentee Precinct,3,9,0,12,0
Precinct,101 - Precinct 1 - District One,743,837,2,1582,0
Precinct,201 - Precinct 1 - District Two,551,773,4,1328,0
Precinct,301 - Precinct 1 - District Three,580,597,2,1179,0
Precinct,401 - Precinct 1 - District Four,190,504,1,695,0
Precinct,402 - Precinct 2 - District Four,238,337,2,577,0
Precinct,Ab - Central Absentee Precinct,198,830,0,1028,0
Precinct,Provisional,4,15,0,19,0
Locality,Galax City,1393,515,1,1909,0
Precinct,##ev - Central Absentee Precinct,355,178,0,533,0
Precinct,##pe - Central Absentee Precinct,1,2,0,3,0
Precinct,1 - East,424,132,1,557,0
Precinct,5 - West,558,136,0,694,0
Precinct,Ab - Central Absentee Precinct,54,66,0,120,0
Precinct,Provisional,1,1,0,2,0
Locality,Giles County,5665,1632,5,7302,0
Precinct,##ev - Central Absentee Precinct,1834,635,1,2470,0
Precinct,##pe - Central Absentee Precinct,1,5,0,6,0
Precinct,101 - Glen Lyn,72,13,0,85,0
Precinct,102 - Rich Creek,292,52,0,344,0
Precinct,103 - Narrows,740,122,2,864,0
Precinct,201 - Pearisburg,728,135,0,863,0
Precinct,202 - Staffordsville,209,36,0,245,0
Precinct,203 - White Gate,151,18,0,169,0
Precinct,301 - Eggleston,333,101,1,435,0
Precinct,302 - Pembroke,763,170,0,933,0
Precinct,303 - Newport,410,169,1,580,0
Precinct,Ab - Central Absentee Precinct,132,175,0,307,0
Precinct,Provisional,0,1,0,1,0
Locality,Gloucester County,12572,4712,11,17295,0
Precinct,##ev - Central Absentee Precinct,2448,1443,2,3893,0
Precinct,##pe - Central Absentee Precinct,12,10,0,22,0
Precinct,101 - Harcum,793,205,2,1000,0
Precinct,102 - Salem,681,176,0,857,0
Precinct,103 - Peasley,552,129,1,682,0
Precinct,201 - Courthouse,629,217,0,846,0
Precinct,202 - Botetourt,1002,298,2,1302,0
Precinct,301 - White Marsh,890,220,0,1110,0
Precinct,302 - Roanes,1055,276,0,1331,0
Precinct,401 - Hayes,966,332,0,1298,0
Precinct,402 - Sarahs Creek,855,308,2,1165,0
Precinct,501 - Achilles,1464,289,0,1753,0
Precinct,502 - Walker,884,225,0,1109,0
Precinct,Ab - Central Absentee Precinct,330,579,2,911,0
Precinct,Provisional,11,5,0,16,0
Locality,Goochland County,9573,4909,13,14495,0
Precinct,##ev - Central Absentee Precinct,3508,1963,1,5472,0
Precinct,##pe - Central Absentee Precinct,16,23,0,39,0
Precinct,101 - Fife,453,144,2,599,0
Precinct,102 - Hadensville,704,261,0,965,0
Precinct,201 - Three Square,173,99,0,272,0
Precinct,202 - Sandy Hook,631,324,2,957,0
Precinct,301 - Goochland Court House 1,455,172,2,629,0
Precinct,302 - Goochland Court House 2,217,66,0,283,0
Precinct,401 - Shallow Well,776,303,0,1079,0
Precinct,402 - Centerville,779,292,0,1071,0
Precinct,501 - Manakin,943,357,2,1302,0
Precinct,502 - Blair,589,294,1,884,0
Precinct,Ab - Central Absentee Precinct,324,607,3,934,0
Precinct,Provisional,5,4,0,9,0
Locality,Grayson County,5064,1118,5,6187,0
Precinct,##ev - Central Absentee Precinct,661,243,1,905,0
Precinct,##pe - Central Absentee Precinct,2,1,0,3,0
Precinct,101 - Bridle Creek,186,43,0,229,0
Precinct,102 - Flatridge,102,18,0,120,0
Precinct,103 - Grant,191,46,0,237,0
Precinct,104 - Mouth Of Wilson,111,21,0,132,0
Precinct,105 - Mount Rogers,142,23,0,165,0
Precinct,106 - Rugby,157,28,0,185,0
Precinct,107 - Troutdale,93,11,0,104,0
Precinct,108 - Comers Rock,127,30,1,158,0
Precinct,202 - Elk Creek,303,49,1,353,0
Precinct,203 - Independence,703,126,0,829,0
Precinct,301 - Baywood,487,45,0,532,0
Precinct,302 - Fairview,592,79,0,671,0
Precinct,401 - Fries,236,66,0,302,0
Precinct,402 - Providence,583,63,1,647,0
Precinct,403 - Oldtown,226,35,1,262,0
Precinct,Ab - Central Absentee Precinct,161,190,0,351,0
Precinct,Provisional,1,1,0,2,0
Locality,Greene County,5991,2801,4,8796,0
Precinct,##ev - Central Absentee Precinct,1838,1005,2,2845,0
Precinct,##pe - Central Absentee Precinct,8,21,0,29,0
Precinct,101 - Dyke,514,125,1,640,0
Precinct,102 - Swift Run,598,168,0,766,0
Precinct,201 - Ruckersville,1008,408,0,1416,0
Precinct,301 - Stanardsville,866,231,0,1097,0
Precinct,401 - Midway,998,397,1,1396,0
Precinct,Ab - Central Absentee Precinct,159,445,0,604,0
Precinct,Provisional,2,1,0,3,0
Locality,Greensville County,1695,1911,2,3608,0
Precinct,##ev - Central Absentee Precinct,372,400,0,772,0
Precinct,##pe - Central Absentee Precinct,0,1,0,1,0
Precinct,101 - Precinct 1-a,135,168,1,304,0
Precinct,102 - Precinct 1-b,95,33,1,129,0
Precinct,103 - Precinct 1-c,40,138,0,178,0
Precinct,201 - Precinct 2-a,94,198,0,292,0
Precinct,202 - Precinct 2-b,277,116,0,393,0
Precinct,302 - Precinct 3-a,226,333,0,559,0
Precinct,401 - Precinct 4-a,153,54,0,207,0
Precinct,402 - Precinct 4-b,139,186,0,325,0
Precinct,403 - Precinct 4-c,101,53,0,154,0
Precinct,AB - Central Absentee Precinct,63,231,0,294,0
Precinct,Provisional,0,0,0,0,0
Locality,Halifax County,8612,4805,7,13424,0
Precinct,##ev - Central Absentee Precinct,1893,1425,2,3320,0
Precinct,##pe - Central Absentee Precinct,6,14,0,20,0
Precinct,101 - Childrey,374,154,0,528,0
Precinct,102 - Liberty,194,63,0,257,0
Precinct,103 - Republican Grove,344,161,2,507,0
Precinct,201 - Clays Mill,283,81,1,365,0
Precinct,202 - Crossroads,276,79,0,355,0
Precinct,203 - Clover,297,184,0,481,0
Precinct,302 - Meadville,88,111,0,199,0
Precinct,304 - Vernon Hill,301,99,0,400,0
Precinct,305 - Sinai,216,229,0,445,0
Precinct,401 - Courthouse,298,184,0,482,0
Precinct,403 - Center,357,152,0,509,0
Precinct,502 - Dan River,431,184,0,615,0
Precinct,503 - Scottsburg,408,80,0,488,0
Precinct,601 - Black Walnut,348,114,0,462,0
Precinct,603 - Mt Carmel,466,236,0,702,0
Precinct,605 - Union,188,53,0,241,0
Precinct,701 - Hyco,588,145,0,733,0
Precinct,702 - Midway,471,70,0,541,0
Precinct,703 - Virgilina,319,37,0,356,0
Precinct,801 - South Boston,237,394,1,632,0
Precinct,Ab - Central Absentee Precinct,229,550,1,780,0
Precinct,Provisional,0,6,0,6,0
Locality,Hampton City,14922,29878,52,44852,0
Precinct,##ev - Central Absentee Precinct (CD 2),1107,1650,2,2759,0
Precinct,##ev - Central Absentee Precinct (CD 3),1860,7188,8,9056,0
Precinct,##pe - Central Absentee Precinct (CD 2),17,21,0,38,0
Precinct,##pe - Central Absentee Precinct (CD 3),29,132,0,161,0
Precinct,101 - Aberdeen (CD 3),165,656,0,821,0
Precinct,102 - Bassette (CD 3),86,752,1,839,0
Precinct,103 - City Hall (CD 3),109,340,0,449,0
Precinct,104 - Cooper (CD 3),218,875,3,1096,0
Precinct,105 - East Hampton (CD 3),154,301,1,456,0
Precinct,106 - Armstrong (CD 3),385,576,3,964,0
Precinct,107 - Lindsay (CD 3),190,669,0,859,0
Precinct,108 - Thomas (CD 3),155,727,0,882,0
Precinct,109 - Phenix (CD 3),133,868,1,1002,0
Precinct,110 - Phoebus (CD 2),136,182,0,318,0
Precinct,111 - Hampton Library (CD 3),190,216,0,406,0
Precinct,112 - Smith (CD 3),431,731,1,1163,0
Precinct,115 - Wythe (CD 3),359,326,0,685,0
Precinct,116 - Jones (CD 3),132,335,1,468,0
Precinct,117 - Kecoughtan (CD 3),254,550,1,805,0
Precinct,118 - Mallory (CD 3),150,885,5,1040,0
Precinct,201 - Booker (CD 2),746,530,0,1276,0
Precinct,202 - Bryan (CD 2),597,594,2,1193,0
Precinct,203 - Burbank (CD 2),391,437,0,828,0
Precinct,204 - Forrest (CD 3),357,532,1,890,0
Precinct,205 - Asbury (CD 2),1329,600,0,1929,0
Precinct,208 - Kraft (CD 3),763,809,2,1574,0
Precinct,209 - Langley (CD 2),544,479,1,1024,0
Precinct,210 - Machen (CD 3),440,958,4,1402,0
Precinct,212 - Bethel (CD 3),518,984,1,1503,0
Precinct,213 - Phillips (CD 2),966,720,3,1689,0
Precinct,214 - Tucker Capps (CD 3),567,696,2,1265,0
Precinct,215 - Tyler (CD 3),53,178,0,231,0
Precinct,215 - Tyler (CD 2),8,19,0,27,0
Precinct,216 - Sandy Bottom (CD 3),327,448,0,775,0
Precinct,217 - Syms (CD 3),335,233,2,570,0
Precinct,Ab - Central Absentee Precinct (CD 2),204,690,0,894,0
Precinct,Ab - Central Absentee Precinct (CD 3),493,2891,7,3391,0
Precinct,Provisional (CD 2),10,20,0,30,0
Precinct,Provisional (CD 3),14,80,0,94,0
Locality,Hanover County,39478,18203,62,57743,0
Precinct,##ev - Central Absentee Precinct,11184,5094,15,16293,0
Precinct,##pe - Central Absentee Precinct,69,75,1,145,0
Precinct,101 - Ashland,429,381,3,813,0
Precinct,104 - Sliding Hill,580,363,1,944,0
Precinct,105 - Berkley,381,348,3,732,0
Precinct,106 - Kersey Creek,398,167,2,567,0
Precinct,107 - Chickahominy,472,289,2,763,0
Precinct,201 - Beaverdam,1226,240,1,1467,0
Precinct,202 - Blunts,524,221,0,745,0
Precinct,203 - Wilmington Parish,802,249,0,1051,0
Precinct,206 - Courthouse,496,270,0,766,0
Precinct,208 - Oak Knoll,617,181,1,799,0
Precinct,209 - West Hanover,254,82,0,336,0
Precinct,210 - Oak Hill,246,82,1,329,0
Precinct,301 - Clay,725,261,0,986,0
Precinct,303 - Shady Grove,816,335,2,1153,0
Precinct,304 - Atlee,1600,959,6,2565,0
Precinct,305 - Cool Spring,814,357,2,1173,0
Precinct,401 - Battlefield,1010,229,1,1240,0
Precinct,403 - Cold Harbor,1181,424,0,1605,0
Precinct,404 - Black Creek,1323,224,2,1549,0
Precinct,405 - Pebble Creek,591,265,0,856,0
Precinct,406 - Beaverdam Creek,229,98,1,328,0
Precinct,502 - Rural Point,853,342,2,1197,0
Precinct,503 - Newman,640,306,1,947,0
Precinct,504 - Studley,784,148,1,933,0
Precinct,505 - Totopotomoy,573,106,1,680,0
Precinct,506 - Georgetown,621,228,1,850,0
Precinct,507 - Laurel Meadow,790,286,0,1076,0
Precinct,601 - Village,1229,513,3,1745,0
Precinct,602 - Lee Davis,1004,361,1,1366,0
Precinct,603 - Mechanicsville,594,298,1,893,0
Precinct,604 - Hanover Grove,594,220,1,815,0
Precinct,701 - Farrington,863,242,0,1105,0
Precinct,702 - Montpelier,808,334,0,1142,0
Precinct,703 - Rockville,991,321,1,1313,0
Precinct,704 - Elmont,909,416,0,1325,0
Precinct,705 - South Anna,581,171,0,752,0
Precinct,Ab Central Absentee Precinct,1643,2680,5,4328,0
Precinct,Provisional,34,37,0,71,0
Locality,Harrisonburg City,4443,6795,14,11252,0
Precinct,##ev - Central Absentee Precinct,1501,2597,4,4102,0
Precinct,##pe - Central Absentee Precinct,11,52,0,63,0
Precinct,101 - Northeast,410,586,1,997,0
Precinct,102 - East Central,184,299,2,485,0
Precinct,103 - Southeast,415,564,0,979,0
Precinct,104 - East,414,435,2,851,0
Precinct,105 - South East Central,68,206,0,274,0
Precinct,201 - Northwest,450,504,2,956,0
Precinct,202 - Southwest,436,564,1,1001,0
Precinct,203 - West,429,498,1,928,0
Precinct,Ab - Central Absentee Precinct,122,477,1,600,0
Precinct,Provisional,3,13,0,16,0
Locality,Henrico County,55822,82161,159,138142,0
Precinct,##ev - Central Absentee Precinct (CD 4),1926,7617,7,9550,0
Precinct,##ev - Central Absentee Precinct (CD 7),9670,13109,15,22794,0
Precinct,##pe - Central Absentee Precinct (CD 4),53,359,1,413,0
Precinct,##pe - Central Absentee Precinct (CD 7),569,1382,4,1955,0
Precinct,101 - Coalpit (CD 7),969,737,1,1707,0
Precinct,102 - Dumbarton (CD 7),334,666,1,1001,0
Precinct,103 - Glen Allen (CD 7),1125,676,3,1804,0
Precinct,105 - Greendale (CD 7),563,720,3,1286,0
Precinct,106 - Hermitage (CD 7),621,647,3,1271,0
Precinct,108 - Hungary Creek (CD 7),781,680,3,1464,0
Precinct,109 - Hunton (CD 7),354,188,0,542,0
Precinct,110 - Johnson (CD 7),532,879,2,1413,0
Precinct,111 - Lakeside (CD 7),780,895,5,1680,0
Precinct,112 - Longan (CD 7),623,527,0,1150,0
Precinct,113 - Maude Trevvett (CD 7),297,270,0,567,0
Precinct,114 - Monument Hills (CD 7),306,311,0,617,0
Precinct,115 - Staples Mill (CD 7),828,643,0,1471,0
Precinct,117 - Westwood (CD 7),397,506,0,903,0
Precinct,201 - Adams (CD 4),70,650,2,722,0
Precinct,202 - Azalea (CD 7),124,929,5,1058,0
Precinct,203 - Belmont (CD 7),397,784,0,1181,0
Precinct,204 - Brookland (CD 7),165,191,1,357,0
Precinct,205 - Canterbury (CD 7),205,233,1,439,0
Precinct,206 - Central Gardens (CD 4),52,795,0,847,0
Precinct,207 - Chamberlayne (CD 7),319,794,2,1115,0
Precinct,208 - Fairfield (CD 4),60,609,5,674,0
Precinct,209 - Glen Lea (CD 4),126,561,0,687,0
Precinct,210 - Greenwood (CD 7),158,447,0,605,0
Precinct,211 - Highland Gardens (CD 4),23,322,1,346,0
Precinct,212 - Hollybrook (CD 7),126,270,0,396,0
Precinct,213 - Hungary (CD 7),186,455,2,643,0
Precinct,214 - Longdale (CD 7),293,510,1,804,0
Precinct,215 - Maplewood (CD 4),75,1004,2,1081,0
Precinct,216 - Moody (CD 7),234,255,0,489,0
Precinct,217 - Mountain (CD 7),168,208,1,377,0
Precinct,218 - Oakview (CD 7),32,27,0,59,0
Precinct,219 - Randolph (CD 7),35,131,0,166,0
Precinct,220 - Ratcliffe (CD 4),94,1083,3,1180,0
Precinct,221 - Stratford Hall (CD 7),74,103,0,177,0
Precinct,222 - Wilder (CD 7),176,660,1,837,0
Precinct,223 - Yellow Tavern (CD 7),579,742,1,1322,0
Precinct,224 - Essex Village (CD 4),7,205,2,214,0
Precinct,301 - Causeway (CD 7),576,563,0,1139,0
Precinct,302 - Cedarfield (CD 7),727,464,2,1193,0
Precinct,303 - Innsbrook (CD 7),675,684,0,1359,0
Precinct,304 - Jackson Davis (CD 7),438,362,1,801,0
Precinct,305 - Nuckols Farm (CD 7),982,750,5,1737,0
Precinct,306 - Pocahontas (CD 7),571,668,1,1240,0
Precinct,307 - Ridge (CD 7),385,381,0,766,0
Precinct,308 - Rivers Edge (CD 7),877,740,2,1619,0
Precinct,309 - Sadler (CD 7),770,761,3,1534,0
Precinct,310 - Shady Grove (CD 7),1038,747,1,1786,0
Precinct,311 - Short Pump (CD 7),497,431,0,928,0
Precinct,312 - Springfield (CD 7),405,449,1,855,0
Precinct,313 - Stoney Run (CD 7),978,806,3,1787,0
Precinct,314 - Three Chopt (CD 7),675,625,0,1300,0
Precinct,315 - Tucker (CD 7),390,764,1,1155,0
Precinct,316 - Colonial Trail (CD 7),456,544,0,1000,0
Precinct,401 - Quioccasin (CD 7),606,717,3,1326,0
Precinct,402 - Crestview (CD 7),496,682,0,1178,0
Precinct,403 - Derbyshire (CD 7),644,497,2,1143,0
Precinct,404 - Freeman (CD 7),486,449,0,935,0
Precinct,405 - Gayton (CD 7),842,599,2,1443,0
Precinct,406 - Godwin (CD 7),573,574,2,1149,0
Precinct,407 - Lakewood (CD 7),535,365,1,901,0
Precinct,408 - Lauderdale (CD 7),560,552,2,1114,0
Precinct,409 - Maybeury (CD 7),674,550,1,1225,0
Precinct,410 - Mooreland (CD 7),596,314,1,911,0
Precinct,411 - Pemberton (CD 7),476,510,1,987,0
Precinct,412 - Pinchbeck (CD 7),652,667,0,1319,0
Precinct,413 - Ridgefield (CD 7),885,711,0,1596,0
Precinct,414 - Rollingwood (CD 7),569,567,2,1138,0
Precinct,415 - Skipwith (CD 7),310,362,0,672,0
Precinct,416 - Spottswood (CD 7),332,337,2,671,0
Precinct,417 - Tuckahoe (CD 7),1015,534,2,1551,0
Precinct,418 - Welborne (CD 7),452,485,1,938,0
Precinct,419 - West End (CD 7),724,594,3,1321,0
Precinct,501 - Antioch (CD 4),862,262,1,1125,0
Precinct,502 - Cedar Fork (CD 4),93,403,3,499,0
Precinct,503 - Chickahominy (CD 4),585,424,1,1010,0
Precinct,504 - Donahoe (CD 4),274,420,3,697,0
Precinct,505 - Dorey (CD 4),582,680,0,1262,0
Precinct,506 - Eanes (CD 4),317,717,3,1037,0
Precinct,507 - Elko (CD 4),355,63,0,418,0
Precinct,508 - Highland Springs (CD 4),151,523,3,677,0
Precinct,509 - Laburnum (CD 4),166,429,1,596,0
Precinct,510 - Mehfoud (CD 4),303,586,0,889,0
Precinct,511 - Montrose (CD 4),177,1005,1,1183,0
Precinct,512 - Nine Mile (CD 4),196,310,0,506,0
Precinct,513 - Pleasants (CD 4),143,907,1,1051,0
Precinct,514 - Rolfe (CD 4),142,1094,1,1237,0
Precinct,515 - Sandston (CD 4),688,314,1,1003,0
Precinct,516 - Sullivans (CD 4),316,827,2,1145,0
Precinct,517 - Town Hall (CD 4),312,177,1,490,0
Precinct,518 - Whitlocks (CD 4),740,407,1,1148,0
Precinct,AB - Central Absentee Precinct (CD 4),381,2418,6,2805,0
Precinct,Ab - Central Absentee Precinct (CD 7),2569,7352,7,9928,0
Precinct,Provisional (CD 4),15,75,0,90,0
Precinct,Provisional (CD 7),82,183,0,265,0
Locality,Henry County,12694,5655,15,18364,0
Precinct,##ev - Central Absentee Precinct (CD 5),719,609,2,1330,0
Precinct,##ev - Central Absentee Precinct (CD 9),1851,984,1,2836,0
Precinct,##pe - Central Absentee Precinct (CD 5),3,11,0,14,0
Precinct,##pe - Central Absentee Precinct (CD 9),16,27,0,43,0
Precinct,101 - Bassett Number Two (CD 9),171,114,0,285,0
Precinct,102 - Gunville (CD 9),557,85,1,643,0
